"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.962127686E0,-2.703812122E-1,2.581357956E-1,5.900669098E-2
8.986816407E0,-5.134470463E-1,5.253398418E-1,9.577560425E-1
9.011505127E0,-6.293725967E-1,7.611591816E-1,1.671458244E0
9.036193848E0,-7.894504070E-1,8.871455193E-1,2.152775764E0
9.060882569E0,-8.442783356E-1,9.122266769E-1,2.418439865E0
9.085571290E0,-7.783727646E-1,8.416521549E-1,2.300486565E0
9.110260010E0,-7.207920551E-1,6.626780033E-1,1.971379280E0
9.134948731E0,-5.195400715E-1,4.195609093E-1,1.366139412E0
9.159637452E0,-2.774865627E-1,1.657528877E-1,5.616569519E-1
9.184326172E0,-5.271792412E-2,-8.135700226E-2,-2.997446060E-1
9.209014893E0,1.669051647E-1,-2.979519367E-1,-1.103525162E0
9.233703614E0,3.651320934E-1,-4.456293583E-1,-1.865512848E0
9.258392334E0,4.988129139E-1,-5.575385094E-1,-2.346403122E0
9.283081055E0,5.933244228E-1,-6.177732944E-1,-2.532642365E0
9.307769776E0,6.103887558E-1,-6.215014458E-1,-2.387752533E0
9.332458497E0,4.937708378E-1,-5.305993557E-1,-1.841635704E0
9.357147217E0,3.587710857E-1,-4.245717525E-1,-1.119956017E0
9.381835938E0,1.893830299E-1,-2.473046780E-1,-2.208271027E-1
9.406524659E0,2.028584480E-2,7.864236832E-3,6.707887650E-1
9.431213379E0,-1.434127092E-1,2.100594044E-1,1.485466003E0
9.455902100E0,-2.524484396E-1,3.937506676E-1,2.070384979E0
9.480590821E0,-3.288453817E-1,5.277118683E-1,2.485934258E0
9.505279541E0,-3.168201447E-1,5.426912308E-1,2.575191498E0
9.529968262E0,-2.843391895E-1,4.674501419E-1,2.411887169E0
9.554656983E0,-1.557081938E-1,3.141362667E-1,1.955946922E0
9.579345704E0,4.921793938E-3,1.255319118E-1,1.296332359E0
9.604034424E0,2.045218945E-1,-1.034748554E-1,4.972705841E-1
