"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.879197688E1,3.748697042E-2,-5.641679764E-1,3.239905834E-2
2.881663508E1,4.627117515E-2,-2.751569748E-1,4.058957100E-3
2.884132380E1,5.331891775E-2,7.499694824E-3,-5.436348915E-2
2.886604304E1,6.363487244E-2,3.267803192E-1,-8.724129200E-2
2.889070124E1,8.660992980E-2,5.585412979E-1,-9.407985210E-2
2.891542048E1,1.394120157E-1,7.700300217E-1,-1.442160606E-1
2.894013972E1,1.230767071E-1,8.659820557E-1,-1.512694359E-1
2.896482844E1,1.614357233E-1,8.542547226E-1,-1.676758528E-1
2.898948664E1,1.435437799E-1,7.235231400E-1,-1.722320318E-1
2.901417536E1,1.342995167E-1,5.389099121E-1,-9.867131710E-2
2.903889460E1,1.000193357E-1,2.481775284E-1,-1.316448450E-1
2.906358332E1,5.472999811E-2,-8.380508423E-2,-2.800512314E-2
2.908830256E1,3.717422485E-2,-3.922462463E-1,-1.518356800E-2
2.911299128E1,-1.655414701E-2,-5.986566544E-1,3.951144218E-2
2.913768000E1,-5.386835337E-2,-8.228130341E-1,9.075546265E-2
2.916233820E1,-7.827082276E-2,-8.689661026E-1,1.007189751E-1
2.918705744E1,-1.225333810E-1,-8.645124435E-1,1.242690086E-1
2.921174616E1,-1.249239445E-1,-7.145090103E-1,1.186192036E-1
2.923643488E1,-9.002181888E-2,-5.007400513E-1,9.103786945E-2
2.926115412E1,-9.306877851E-2,-2.140617371E-1,3.997731209E-2
2.928584284E1,-4.839938879E-2,1.090955734E-1,5.710124969E-4
2.931050105E1,-2.310839295E-2,4.017591476E-1,1.204979420E-2
2.933522028E1,2.701699734E-2,6.446914673E-1,-4.977571964E-2
2.935990900E1,1.754248142E-2,8.478651047E-1,-9.895241261E-2
2.938459773E1,1.316475868E-2,8.991947174E-1,-9.508872032E-2
2.940928645E1,1.242876053E-2,8.591403961E-1,-7.860004902E-2
2.943400568E1,-2.282381058E-3,7.187042236E-1,-7.423555851E-2
2.945866389E1,-3.005707264E-2,4.617843628E-1,-3.700852394E-2
2.948335261E1,-8.053761721E-2,1.966333389E-1,1.066517830E-2
2.950804133E1,-1.153610945E-1,-1.005563736E-1,6.556701660E-2
2.953273005E1,-1.558193564E-1,-3.841104507E-1,1.086186171E-1
2.955744929E1,-1.292027533E-1,-6.326122284E-1,1.656320095E-1
2.958213801E1,-1.410718262E-1,-7.843036652E-1,1.674466133E-1
2.960682673E1,-1.391613781E-1,-8.326797485E-1,1.744111776E-1
2.963154597E1,-1.073073447E-1,-8.044309616E-1,1.627225876E-1
2.965623469E1,-9.891352057E-2,-6.739892960E-1,1.568341255E-1
2.968092341E1,-8.194184303E-2,-4.395523071E-1,8.791387081E-2
